smiles,inchikey,tm_k,source
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,AMTPYFGPPVFBBI-UHFFFAOYSA-N,562.15,bradley
O=C(O)/C=C/c1ccccc1C(F)(F)F,AMVYAIXPAGBXOM-AATRIKPKSA-N,475.15,bradley
CC(C)(C)I,ANGGPYSFTXVERY-UHFFFAOYSA-N,235.15,bradley
CCCCCCI,ANOOTOPTCJRUPK-UHFFFAOYSA-N,198.15,bradley
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,ANTSCNMPPGJYLG-UHFFFAOYSA-N,509.15,bradley
CCCCCCOC(C)=O,AOGQPLXWSUTHQB-UHFFFAOYSA-N,193.15,bradley
Nc1ccccc1Br,AOPBDRUWRLBSDB-UHFFFAOYSA-N,303.15,bradley
CCC(CC)CC,AORMDLNPRGXHHL-UHFFFAOYSA-N,154.15,bradley
O=[N+]([O-])c1cccc(CCl)c1,APGGSERFJKEWFG-UHFFFAOYSA-N,320.15,bradley
NCCc1c[nH]c2ccccc12,APJYDQYYACXCRM-UHFFFAOYSA-N,387.15,bradley
Brc1ccc2ccccc2c1,APSMUYYLXZULMS-UHFFFAOYSA-N,327.15,bradley
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,AQCHWTWZEMGIFD-UHFFFAOYSA-N,525.15,bradley
CC(C)NCC(O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-UHFFFAOYSA-N,369.15,des
CNC(=NC#N)NCCSCc1nc[nH]c1C,AQIXAKUUQRKLND-UHFFFAOYSA-N,414.15,bradley
CC(=O)Nc1cccc(F)c1,AQLLDCFUQXGLHM-UHFFFAOYSA-N,361.15,bradley
BrC1CCCCC1,AQNQQHJNRPDOQV-UHFFFAOYSA-N,216.15,bradley
CCCCCCCCCCCCCCCC(=O)Cl,ARBOVOVUTSQWSS-UHFFFAOYSA-N,284.15,bradley
C=CCOc1ccc(CC(=O)O)cc1Cl,ARHWPKZXBHOEEE-UHFFFAOYSA-N,365.15,bradley
CC(=O)c1cccc([N+](=O)[O-])c1,ARKIFHPFTHVKDT-UHFFFAOYSA-N,354.15,bradley
CCC(C)C(C)(C)CC,ARWOOWBJJKVYOV-UHFFFAOYSA-N,172.15,bradley
COCC(C)O,ARXJGSRGQADJSQ-UHFFFAOYSA-N,176.15,bradley
COc1ccc(CC#N)cc1OC,ASLSUMISAQDOOB-UHFFFAOYSA-N,337.15,bradley
O=P(O)(Oc1ccccc1)Oc1ccccc1,ASMQGLCHMVWBQR-UHFFFAOYSA-N,339.15,bradley
On1nnc2ccccc21,ASOKPJOREAFHNY-UHFFFAOYSA-N,432.15,bradley
O=c1[nH]c2ccccc2o1,ASSKVPFEZFQQNQ-UHFFFAOYSA-N,413.15,bradley
NCCCCNCCCN,ATHGHQPFGPMSJY-UHFFFAOYSA-N,296.65,bradley
CCCc1ccc(C(=O)O)cc1,ATZHGRNFEFVDDJ-UHFFFAOYSA-N,415.15,bradley
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,AUHHYELHRWCWEZ-UHFFFAOYSA-N,528.65,bradley
Cc1cc(C)cc(C)c1,AUHZEENZYGFFBQ-UHFFFAOYSA-N,228.15,bradley
O=C(O)c1cc(Cl)c(O)c(Cl)c1,AULKDLUOQCUNOK-UHFFFAOYSA-N,541.15,bradley
C=C(C)C(C)(C)C,AUYRUAVCWOAHQN-UHFFFAOYSA-N,163.15,bradley
CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,343.15,bradley
COc1cccc(C(=O)O)c1O,AUZQQIPZESHNMG-UHFFFAOYSA-N,425.15,bradley
O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,AVCSMMMOCOTIHF-UHFFFAOYSA-N,444.65,bradley
Fc1ccc(N2CCNCC2)cc1,AVJKDKWRVSSJPK-UHFFFAOYSA-N,305.15,bradley
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,AVOLMBLBETYQHX-UHFFFAOYSA-N,395.65,bradley
Brc1sc(Br)c(Br)c1Br,AVPWUAFYDNQGNZ-UHFFFAOYSA-N,388.15,bradley
O=Cc1ccc(Cl)cc1,AVPYQKSLYISFPO-UHFFFAOYSA-N,319.15,bradley
CN(C)C(=O)N(C)C,AVQQQNCBBIEMEU-UHFFFAOYSA-N,272.15,bradley
NC(=O)c1c(F)cccc1F,AVRQBXVUUXHRMY-UHFFFAOYSA-N,420.15,bradley
Nc1cc(Cl)ccc1Cl,AVYGCQXNNJPXSS-UHFFFAOYSA-N,321.15,bradley
O=S(=O)(Cc1ccccc1)Cc1ccccc1,AWHNUHMUCGRKRA-UHFFFAOYSA-N,424.15,bradley
c1ccc2cnccc2c1,AWJUIBRHMBBTKR-UHFFFAOYSA-N,299.15,bradley
O=C(O)CSCc1ccccc1,AWLVTQRRKPBQEQ-UHFFFAOYSA-N,335.15,bradley
c1ccc(C2CO2)cc1,AWMVMTVKBNGEAK-UHFFFAOYSA-N,236.15,bradley
CC(C)C(O)C(C)(C)C,AXINNNJHLJWMTC-UHFFFAOYSA-N,260.15,bradley
CCc1cc(C)ccc1C,AXIUBBVSOWPLDA-UHFFFAOYSA-N,219.15,bradley
COC(=O)c1cccc([N+](=O)[O-])c1,AXLYJLKKPUICKV-UHFFFAOYSA-N,351.15,bradley
CC(=O)OCC(C(OC(C)=O)c1ccccc1)[N+](=O)[O-],AYBALPYBYZFKDS-UHFFFAOYSA-N,344.15,bradley
C[C@@H](O)[C@H](N)C(=O)O,AYFVYJQAPQTCCC-GBXIJSLDSA-N,529.15,des
N#CCc1ccc(O)cc1,AYKYOOPFBCOXSL-UHFFFAOYSA-N,344.15,bradley
CC1=CC(=O)OC1=O,AYKYXWQEBUNJCN-UHFFFAOYSA-N,281.15,bradley
CCOC(=O)c1ccc(OC)c(OC)c1,AYYNUGSDPRDVCH-UHFFFAOYSA-N,317.15,bradley
N#Cc1ccc2ccccc2c1,AZKDTTQQTKDXLH-UHFFFAOYSA-N,338.15,bradley
O=C1C=CC(=O)C=C1,AZQWKYJCGOJGHM-UHFFFAOYSA-N,387.15,bradley
O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,AZXGXVQWEUFULR-UHFFFAOYSA-N,573.15,bradley
CC1(C)CC(=O)CC(=O)C1,BADXJIPKFRBFOT-UHFFFAOYSA-N,421.65,bradley
C=CC(=O)OC,BAPJBEWLBFYGME-UHFFFAOYSA-N,198.15,bradley
ClCc1ccccc1Cl,BASMANVIUSSIIM-UHFFFAOYSA-N,260.15,bradley
CN1CCC(O)CC1,BAUWRHPMUVYFOD-UHFFFAOYSA-N,301.15,bradley
CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,180.15,bradley
COc1cccc(C(C)=O)c1,BAYUSCHCCGXLAY-UHFFFAOYSA-N,266.15,bradley
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,BAZVSMNPJJMILC-UHFFFAOYSA-N,408.65,bradley
CCCCCCCO,BBMCTIGTTCKYKF-UHFFFAOYSA-N,237.15,bradley
O=C(O)/C=C/c1ccccc1[N+](=O)[O-],BBQDLDVSEDAYAA-AATRIKPKSA-N,520.15,bradley
Cc1ccc([N+](=O)[O-])c(C)c1,BBUPBICWUURTNP-UHFFFAOYSA-N,280.15,bradley
c1ccc2ocnc2c1,BCMCBBGGLRIHSE-UHFFFAOYSA-N,303.15,bradley
CC(=O)NC12CC3CC(CC(C3)C1)C2,BCVXYGJCDZPKGV-UHFFFAOYSA-N,421.15,bradley
O=CO,BDAGIHXWWSANSR-UHFFFAOYSA-N,281.15,bradley
CC(C)(O)c1ccccc1,BDCFWIDZNLCTMF-UHFFFAOYSA-N,307.15,bradley
CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,146.15,bradley
CC1CCC1,BDJAEZRIGNCQBZ-UHFFFAOYSA-N,111.64,bradley
O=C(O)CCCCCCCC(=O)O,BDJRBEYXGGNYIS-UHFFFAOYSA-N,375.15,bradley
O=c1cc(CO)occ1O,BEJNERDRQOWKJM-UHFFFAOYSA-N,427.15,bradley
O=Cc1ccc(C(F)(F)F)cc1,BEOBZEOPTQQELP-UHFFFAOYSA-N,274.65,bradley
COC(=O)CC(=O)OC,BEPAFCGSDWSTEL-UHFFFAOYSA-N,211.15,bradley
CC=C(C)CC,BEQGRRJLJLVQAQ-UHFFFAOYSA-N,136.65,bradley
O=P(O)(c1ccccc1)c1ccccc1,BEQVQKJCLJBTKZ-UHFFFAOYSA-N,468.15,bradley
CCOc1ccc(C=O)cc1OC,BERFDQAMXIBOHM-UHFFFAOYSA-N,334.15,bradley
CN(C)c1ccc(C(=O)c2ccccc2)cc1,BEUGBYXJXMVRFO-UHFFFAOYSA-N,362.15,bradley
Oc1ccc(/N=N/c2ccccc2)cc1,BEYOBVMPDRKTNR-BUHFOSPRSA-N,427.15,bradley
Cc1cc(C)c(C)c(C)c1C,BEZDDPMMPIDMGJ-UHFFFAOYSA-N,327.15,bradley
O=C(O)c1cc(Br)cc(Br)c1O,BFBZHSOXKROMBG-UHFFFAOYSA-N,499.15,bradley
O=[N+]([O-])c1ccccc1Cl,BFCFYVKQTRLZHA-UHFFFAOYSA-N,305.15,bradley
Cc1cc(C)c(C)c(C)c1,BFIMMTCNYPIMRN-UHFFFAOYSA-N,249.15,bradley
Cc1c(Br)cc(Br)cc1Br,BFRIZWKDNUHPHL-UHFFFAOYSA-N,342.15,bradley
Cc1cc([N+](=O)[O-])ccc1Cl,BGDCQZFFNFXYQC-UHFFFAOYSA-N,316.15,bradley
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,BGDKAVGWHJFAGW-UHFFFAOYSA-N,369.15,bradley
CCCCCCCCCCCCC=O,BGEHHAVMRVXCGR-UHFFFAOYSA-N,288.15,bradley
CCCCCCCCCCCCCC,BGHCVCJVXZWKCC-UHFFFAOYSA-N,278.65,bradley
C1OCOCO1,BGJSXRVXTHVRSN-UHFFFAOYSA-N,334.15,bradley
O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl,BGKIECJVXXHLDP-UHFFFAOYSA-N,328.65,bradley
CN(C)c1ccc(C=O)cc1,BGNGWHSBYQYVRX-UHFFFAOYSA-N,347.15,bradley
CCC[N+](CCC)(CCC)CCC.[Br-],BGQMOFGZRJUORO-UHFFFAOYSA-M,583.0,des
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,451.15,bradley
O=C1CCCC1,BGTOWKSIORTVQH-UHFFFAOYSA-N,222.15,bradley
CCC(CC)(CC)CC,BGXXXYLRPIRDHJ-UHFFFAOYSA-N,240.15,bradley
COc1ccc(N)cc1,BHAAPTBBJKJZER-UHFFFAOYSA-N,330.15,bradley
C=CCBr,BHELZAPQIKSEDF-UHFFFAOYSA-N,154.15,bradley
COC(=O)C(C)C,BHIWKHZACMWKOJ-UHFFFAOYSA-N,188.15,bradley
Cc1cc2ccccc2[nH]1,BHNHHSOHWZKFOX-UHFFFAOYSA-N,331.15,bradley
CC(F)(F)Cl,BHNZEZWIUMJCGF-UHFFFAOYSA-N,142.15,bradley
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BHQCQFFYRZLCQQ-OELDTZBJSA-N,474.15,bradley
CCC(C)N,BHRZNVHARXXAHW-UHFFFAOYSA-N,169.15,bradley
OCc1ccc2c(c1)OCO2,BHUIUXNAPJIDOG-UHFFFAOYSA-N,326.15,bradley
N#Cc1ccc(C#N)cc1,BHXFKXOIODIUJO-UHFFFAOYSA-N,498.65,bradley
O=C(O)C(O)c1ccc(Br)cc1,BHZBRPQOYFDTAB-UHFFFAOYSA-N,390.15,bradley
O=C(O)C(=Cc1ccccc1)c1ccccc1,BIDDLDNGQCUOJQ-UHFFFAOYSA-N,444.15,bradley
COC(=O)c1ccc(OC)c(OC)c1,BIGQPYZPEWAPBG-UHFFFAOYSA-N,333.15,bradley
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,BIWJNBZANLAXMG-UHFFFAOYSA-N,377.15,bradley
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,BIXZHMJUSMUDOQ-UHFFFAOYSA-N,462.15,bradley
C=CCOc1nc(OCC=C)nc(OCC=C)n1,BJELTSYBAHKXRW-UHFFFAOYSA-N,299.15,bradley
O=C(O)CC(O)C(=O)O,BJEPYKJPYRNKOW-UHFFFAOYSA-N,404.3,des
Cc1cc(N)nc(C)n1,BJJDXAFKCKSLTE-UHFFFAOYSA-N,458.15,bradley
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM-UHFFFAOYSA-N,223.15,bradley
CCCCCCCCCCCCCCCCCCCCCCCCCCC,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,332.15,bradley
CCCCCCCCC,BKIMMITUMNQMOS-UHFFFAOYSA-N,220.15,bradley
O=C(O)CCCCCCCBr,BKJFDZSBZWHRNH-UHFFFAOYSA-N,312.15,bradley
CC=C(C)C,BKOOMYPCSUNDGP-UHFFFAOYSA-N,139.15,bradley
CCOC(=O)c1ccc(N)cc1,BLFLLBZGZJTVJG-UHFFFAOYSA-N,362.15,bradley
NC(=O)c1ccc(Cl)cc1,BLNVISNJTIRAHF-UHFFFAOYSA-N,446.15,bradley
CCCCCI,BLXSFCHWMBESKV-UHFFFAOYSA-N,187.15,bradley
O=C(O)Cc1cccc(C(F)(F)F)c1,BLXXCCIBGGBDHI-UHFFFAOYSA-N,351.15,bradley
NCCOB(c1ccccc1)c1ccccc1,BLZVCIGGICSWIG-UHFFFAOYSA-N,462.15,bradley
O=C(c1ccccc1)C1CCCCC1,BMFYCFSWWDXEPB-UHFFFAOYSA-N,328.15,bradley
CN(C)C(=O)Nc1ccc(Cl)cc1,BMLIZLVNXIYGCK-UHFFFAOYSA-N,447.15,bradley
CCn1cc[n+](C)c1.[Cl-],BMQZYMYBQZGEEY-UHFFFAOYSA-M,350.42,des
O=C1c2ccccc2CCc2ccccc21,BMVWCPGVLSILMU-UHFFFAOYSA-N,306.15,bradley
CCCCCCN,BMVXCPBXGZKUPN-UHFFFAOYSA-N,250.15,bradley
NNC(=O)c1cccc(Br)c1,BNAQRAZIPAHWAR-UHFFFAOYSA-N,429.15,bradley
N#Cc1c(F)cccc1F,BNBRIFIJRKJGEI-UHFFFAOYSA-N,303.15,bradley
ClC(Cl)C(Cl)(Cl)Cl,BNIXVQGCZULYKV-UHFFFAOYSA-N,244.15,bradley
O=C1c2ccccc2C(=O)c2c(Cl)cccc21,BOCJQSFSGAZAPQ-UHFFFAOYSA-N,432.15,bradley
O=[N+]([O-])c1ccc(O)c(Cl)c1,BOFRXDMCQRTGII-UHFFFAOYSA-N,379.15,bradley
Cc1cccc(C#N)c1,BOHCMQZJWOGWTA-UHFFFAOYSA-N,250.15,bradley
O=C1NC(=O)c2c1cccc2[N+](=O)[O-],BONIIQYTWOPUQI-UHFFFAOYSA-N,492.15,bradley
CCCC[N+]1(C)CCCC1.[Cl-],BOOXKGZZTBKJFE-UHFFFAOYSA-M,472.98,des
CCO[Si](OCC)(OCC)OCC,BOTDANWDWHJENH-UHFFFAOYSA-N,187.15,bradley
c1ccc(COc2ccccc2)cc1,BOTNYLSAWDQNEX-UHFFFAOYSA-N,312.15,bradley
CCOC(=O)c1cc(C)n[nH]1,BOTXQJAHRCGJEG-UHFFFAOYSA-N,355.15,bradley
CC(=O)Nc1ccccc1C,BPEXTIMJLDWDTL-UHFFFAOYSA-N,384.15,bradley
O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl,BPPMIQPXQVIZNJ-UHFFFAOYSA-N,359.15,bradley
Cc1cc(C)c(O)c(C)c1,BPRYUXCVCCNUFE-UHFFFAOYSA-N,345.05,des
CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,BQDBKDMTIJBJLA-UHFFFAOYSA-N,443.15,bradley
OCCOc1ccc2ccccc2c1,BQPBZDSDFCDSAO-UHFFFAOYSA-N,347.15,bradley
COC(C(=O)c1ccccc1)c1ccccc1,BQZJOQXSCSZQPS-UHFFFAOYSA-N,320.15,bradley
ClCC1CO1,BRLQWZUYTZBJKN-UHFFFAOYSA-N,216.15,bradley
Nc1cccc(Cl)c1Cl,BRPSAOUFIJSKOT-UHFFFAOYSA-N,297.15,bradley
NC(=O)Oc1ccccc1,BSCCSDNZEIHXOK-UHFFFAOYSA-N,424.15,bradley
Cc1ccccn1,BSKHPKMHTQYZBB-UHFFFAOYSA-N,203.15,bradley
CCC1CCCC1C,BSKOLJVTLRLTHE-UHFFFAOYSA-N,167.25,bradley
CC(C)C(=O)c1ccccc1,BSMGLVDZZMBWQB-UHFFFAOYSA-N,274.15,bradley
CC(=O)Oc1ccccc1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,414.0,des
CC(c1ccccc1)c1ccccc1,BSZXAFXFTLXUFV-UHFFFAOYSA-N,255.15,bradley
CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,158.15,bradley
CCCCCCCCCCCCCCCCCCCCO,BTFJIXJJCSYFAL-UHFFFAOYSA-N,337.15,bradley
N#CCCCCC#N,BTGRAWJCKBQKAO-UHFFFAOYSA-N,275.15,bradley
O=[N+]([O-])c1ccc(O)cc1,BTJIUGUIPKRLHP-UHFFFAOYSA-N,388.15,bradley
Cc1cc(Cl)nc(Cl)n1,BTLKROSJMNFSQZ-UHFFFAOYSA-N,319.15,bradley
N#CCCCCCCC#N,BTNXBLUGMAMSSH-UHFFFAOYSA-N,270.15,bradley
CC(=O)CCl,BULLHNJGPPOUOX-UHFFFAOYSA-N,228.65,bradley
CC(=O)Nc1ccccc1[N+](=O)[O-],BUNFNRVLMKHKIT-UHFFFAOYSA-N,365.15,bradley
O=C(O)CCOc1ccccc1,BUSOTUQRURCMCM-UHFFFAOYSA-N,371.15,bradley
O=Cc1cc(Cl)ccc1Cl,BUXHYMZMVMNDMG-UHFFFAOYSA-N,329.15,bradley
CCC(c1ccccc1)c1ccccc1,BUZMJVBOGDBMGI-UHFFFAOYSA-N,287.15,bradley
CC(=O)c1ccc(Cl)cc1,BUZYGTVTZYSBCU-UHFFFAOYSA-N,292.15,bradley
CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,BVUXDWXKPROUDO-UHFFFAOYSA-N,316.15,bradley
CCCC=C(C)C,BWEKDYGHDCHWEN-UHFFFAOYSA-N,143.15,bradley
CC(=O)/C=C/c1ccccc1,BWHOZHOGCMHOBV-BQYQJAHWSA-N,314.15,bradley
CC(C)(O)C(=O)O,BWLBGMIXKSTLSX-UHFFFAOYSA-N,352.15,bradley
O=[N+]([O-])c1ccccc1CO,BWRBVBFLFQKBPT-UHFFFAOYSA-N,345.15,bradley
OCc1ccc(CO)cc1,BWVAOONFBYYRHY-UHFFFAOYSA-N,391.15,bradley
Cc1cc(C)nc(C)c1,BWZVCCNYKMEVEX-UHFFFAOYSA-N,227.15,bradley
O=[N+]([O-])c1ccccc1CCl,BXCBUWKTXLWPSB-UHFFFAOYSA-N,320.15,bradley
OCCc1ccccn1,BXGYBSJAZFGIPX-UHFFFAOYSA-N,265.15,bradley
CC1CC1(C)C,BXIIJPAVISPOGI-UHFFFAOYSA-N,135.15,bradley
O=Cc1ccc([N+](=O)[O-])cc1,BXRFQSNOROATLV-UHFFFAOYSA-N,381.15,bradley
CCCCCCCCCCCCCCCCO,BXWNKGSJHAJOGX-UHFFFAOYSA-N,324.4,des
NNc1c(F)c(F)c(F)c(F)c1F,BYCUWCJUPSUFBX-UHFFFAOYSA-N,349.15,bradley
OC(C(F)(F)F)C(F)(F)F,BYEAHWXPCBROCE-UHFFFAOYSA-N,269.15,des
Cc1cc(C)cc([N+](=O)[O-])c1,BYFNZOKBMZKTSC-UHFFFAOYSA-N,347.15,bradley
